NewLayerName,TemplateAssetNumber,FriendlyCompDesc,UNITTYPE,PrimaryDimensionUnitOfMeasure,LAYER_NETWORK_TYPE,ASSET_TYPE_LEVELS,SearchPath
swChannel,10142735,Storm Channel,NULL,M,STORMWATER,3,Network\Stormwater\Surface Drain
swInlet,10142736,Storm Inlet,NULL,EA,STORMWATER,4,Network\Stormwater\Stormwater Component\Stormwater Pit
swMain,10142743,Storm Main,NULL,M,STORMWATER,3,Network\Stormwater\Stormwater Pipe
swLateral,10142737,Storm Service Line,NULL,M,STORMWATER,3,Network\Stormwater\Stormwater Pipe
swManhole,10142738,Storm Manhole,NULL,EA,STORMWATER,4,Network\Stormwater\Stormwater Component\Manholes
swNode,10142740,Storm Node,NULL,EA,STORMWATER,4,Network\Stormwater\Stormwater Component\Fitting
swTreatmentDevice,10142741,Storm Treatment Device,NULL,EA,STORMWATER,3,Network\Stormwater\WSUD Area
swStructure,10142746,Storm End Structures,NULL,EA,STORMWATER,4,Network\Stormwater\Stormwater Component\End Structure
swValve,10142742,Storm Valve,NULL,EA,STORMWATER,4,Network\Stormwater\Stormwater Component\Valves
swMeter,10142739,Storm Meter,NULL,EA,STORMWATER,4,Network\Stormwater\Stormwater Component\Meters
swCulvert,10142744,Storm Culvert,NULL,M,STORMWATER,4,Network\Stormwater\Stormwater Pipe\Culverts
wwLateral,10142729,Sewer Service Line,NULL,M,WASTEWATER,3,Network\Wastewater\Mains
wwMain,10142730,Sewer Main,NULL,M,WASTEWATER,3,Network\Wastewater\Mains
wwManhole,10142731,Sewer Manhole,NULL,EA,WASTEWATER,3,Network\Wastewater\Manholes
wwMeter,10142732,Sewer Meter,NULL,EA,WASTEWATER,3,Network\Wastewater\Meters
wwNode,10142733,Sewer Node,NULL,EA,WASTEWATER,3,Network\Wastewater\Connections
wwPumpStation,10000001,Sewer Lift Station,NULL,EA,WASTEWATER,2,Treatment Processing & Bulk Storage Supply\Three Waters Facility
wwTreatmentPlant,10000001,Sewer Treatment Plant,NULL,EA,WASTEWATER,2,Treatment Processing & Bulk Storage Supply\Three Waters Facility
wwValve,10142734,Sewer Valve,NULL,EA,WASTEWATER,3,Network\Wastewater\Valves
wsBackflow,10142727,Water Backflow,NULL,EA,WATERSUPPLY,3,Network\Watersupply\Backflow Device
wsHydrant,10142726,Water Hydrant,NULL,EA,WATERSUPPLY,3,Network\Watersupply\Hydrants
wsLateral,10142724,Water Service Line,NULL,M,WATERSUPPLY,3,Network\Watersupply\Mains
wsMain,10142723,Water Main,NULL,M,WATERSUPPLY,3,Network\Watersupply\Mains
wsMeter,10142722,Water Meter,NULL,EA,WATERSUPPLY,3,Network\Watersupply\Meters
wsMiscellaneous,10142728,Water Miscellaneous,NULL,EA,WATERSUPPLY,4,Treatment Processing & Bulk Storage Supply\Electrical\Electrical Equipment\Cabinets
wsNode,10142721,Water Node,NULL,EA,WATERSUPPLY,3,Network\Watersupply\Fittings Nodes
wsPumpStation,10000001,Water Pump Station,NULL,EA,WATERSUPPLY,2,Treatment Processing & Bulk Storage Supply\Three Waters Facility
wsReservoir,10142720,Water Reservoir,NULL,EA,WATERSUPPLY,2,Treatment Processing & Bulk Storage Supply\Three Waters Facility
wsTreatmentPlant,10000001,Water Treatment Plant,NULL,EA,WATERSUPPLY,2,Treatment Processing & Bulk Storage Supply\Three Waters Facility
wsValve,10142725,Water Valve,NULL,EA,WATERSUPPLY,3,Network\Watersupply\Valves
